angle_deg     ieee754_hex         sin_pre         sin_out    sin_out_real         sin_err         cos_pre         cos_out    cos_out_real         cos_err        flip_out
      119        42ee0000        0.874620            6ff3        0.874603       -0.000016       -0.484810            c1f3       -0.484772        0.000038              -1
      118        42ec0000        0.882948            7108        0.883057        0.000109       -0.469472            c3ed       -0.469330        0.000142              -1
      117        42ea0000        0.891007            720c        0.890991       -0.000015       -0.453990            c5e5       -0.453949        0.000042              -1
      116        42e80000        0.898794            730d        0.898834        0.000040       -0.438371            c7e6       -0.438293        0.000078              -1
      115        42e60000        0.906308            7403        0.906342        0.000034       -0.422618            c9e7       -0.422638       -0.000020              -1
      114        42e40000        0.913545            74f1        0.913605        0.000059       -0.406737            cbf4       -0.406616        0.000120              -1
      113        42e20000        0.920505            75d5        0.920563        0.000058       -0.390731            ce02       -0.390564        0.000167              -1
      112        42e00000        0.927184            76b1        0.927277        0.000093       -0.374607            d016       -0.374329        0.000278              -1
      111        42de0000        0.933580            777e        0.933533       -0.000048       -0.358368            d222       -0.358337        0.000031              -1
      110        42dc0000        0.939693            7846        0.939636       -0.000056       -0.342020            d43d       -0.341888        0.000132              -1
      109        42da0000        0.945519            7906        0.945496       -0.000023       -0.325568            d659       -0.325409        0.000159              -1
      108        42d80000        0.951057            79be        0.951111        0.000054       -0.309017            d874       -0.308960        0.000057              -1
      107        42d60000        0.956305            7a69        0.956329        0.000025       -0.292372            da98       -0.292236        0.000135              -1
      106        42d40000        0.961262            7b07        0.961151       -0.000111       -0.275637            dcb5       -0.275726       -0.000089              -1
      105        42d20000        0.965926            7ba5        0.965973        0.000047       -0.258819            dee1       -0.258759        0.000061              -1
      104        42d00000        0.970296            7c30        0.970215       -0.000081       -0.241922            e10c       -0.241821        0.000101              -1
      103        42ce0000        0.974370            7cb6        0.974304       -0.000066       -0.224951            e337       -0.224884        0.000067              -1
      102        42cc0000        0.978148            7d32        0.978088       -0.000059       -0.207912            e566       -0.207825        0.000087              -1
      101        42ca0000        0.981627            7da5        0.981598       -0.000029       -0.190809            e794       -0.190796        0.000013              -1
      100        42c80000        0.984808            7e0c        0.984741       -0.000067       -0.173648            e9c7       -0.173615        0.000034              -1
       99        42c60000        0.987688            7e6c        0.987671       -0.000017       -0.156434            ebfb       -0.156403        0.000032              -1
       98        42c40000        0.990268            7ebf        0.990204       -0.000064       -0.139173            ee31       -0.139130        0.000043              -1
       97        42c20000        0.992546            7f0e        0.992615        0.000069       -0.121869            f06e       -0.121643        0.000226              -1
       96        42c00000        0.994522            7f4b        0.994476       -0.000046       -0.104528            f2a0       -0.104492        0.000036              -1
       95        42be0000        0.996195            7f81        0.996124       -0.000070       -0.087156            f4da       -0.087097        0.000059              -1
       94        42bc0000        0.997564            7fb1        0.997589        0.000025       -0.069756            f70f       -0.069855       -0.000098              -1
       93        42ba0000        0.998630            7fd2        0.998596       -0.000033       -0.052336            f94f       -0.052277        0.000059              -1
       92        42b80000        0.999391            7feb        0.999359       -0.000032       -0.034899            fb8b       -0.034821        0.000079              -1
       91        42b60000        0.999848            7ff9        0.999786       -0.000061       -0.017452            fdc3       -0.017487       -0.000034              -1
       90        42b40000        1.000000            8000       -1.000000       -2.000000        0.000000            0000        0.000000       -0.000000              -1
       89        42b20000        0.999848            7ffc        0.999878        0.000030        0.017452            023f        0.017548        0.000095              -1
       88        42b00000        0.999391            7fec        0.999390       -0.000001        0.034899            047b        0.035004        0.000104              -1
       87        42ae0000        0.998630            7fd1        0.998566       -0.000064        0.052336            06b3        0.052338        0.000002              -1
       86        42ac0000        0.997564            7fb0        0.997559       -0.000005        0.069756            08f3        0.069916        0.000159              -1
       85        42aa0000        0.996195            7f84        0.996216        0.000021        0.087156            0b26        0.087097       -0.000059              -1
       84        42a80000        0.994522            7f4e        0.994568        0.000046        0.104528            0d62        0.104553        0.000025              -1
       83        42a60000        0.992546            7f0d        0.992584        0.000038        0.121869            0f9a        0.121887        0.000018              -1
       82        42a40000        0.990268            7ec4        0.990356        0.000088        0.139173            11cf        0.139130       -0.000043              -1
       81        42a20000        0.987688            7e6d        0.987701        0.000013        0.156434            1405        0.156403       -0.000032              -1
       80        42a00000        0.984808            7e0f        0.984833        0.000025        0.173648            163b        0.173676        0.000027              -1
       79        429e0000        0.981627            7da4        0.981567       -0.000060        0.190809            186e        0.190857        0.000048              -1
       78        429c0000        0.978148            7d37        0.978241        0.000093        0.207912            1a99        0.207794       -0.000118              -1
       77        429a0000        0.974370            7cb7        0.974335       -0.000035        0.224951            1cca        0.224915       -0.000037              -1
       76        42980000        0.970296            7c33        0.970306        0.000011        0.241922            1ef8        0.241943        0.000021              -1
       75        42960000        0.965926            7ba2        0.965881       -0.000044        0.258819            2123        0.258881        0.000062              -1
       74        42940000        0.961262            7b0c        0.961304        0.000042        0.275637            234b        0.275726        0.000089              -1
       73        42920000        0.956305            7a68        0.956299       -0.000006        0.292372            2568        0.292236       -0.000135              -1
       72        42900000        0.951057            79b9        0.950958       -0.000098        0.309017            278c        0.308960       -0.000057              -1
       71        428e0000        0.945519            7908        0.945557        0.000038        0.325568            29a8        0.325439       -0.000129              -1
       70        428c0000        0.939693            784c        0.939819        0.000127        0.342020            2bc8        0.342041        0.000021              -1
       69        428a0000        0.933580            7780        0.933594        0.000013        0.358368            2de3        0.358490        0.000122              -1
       68        42880000        0.927184            76b3        0.927338        0.000154        0.374607            2ff5        0.374664        0.000058              -1
       67        42860000        0.920505            75d3        0.920502       -0.000003        0.390731            3207        0.390839        0.000107              -1
       66        42840000        0.913545            74ed        0.913483       -0.000063        0.406737            340f        0.406708       -0.000029              -1
       65        42820000        0.906308            73ff        0.906219       -0.000088        0.422618            361d        0.422760        0.000142              -1
       64        42800000        0.898794            730b        0.898773       -0.000021        0.438371            381b        0.438324       -0.000047              -1
       63        427c0000        0.891007            720a        0.890930       -0.000076        0.453990            3a1e        0.454041        0.000050              -1
       62        42780000        0.882948            7100        0.882813       -0.000135        0.469472            3c1a        0.469543        0.000072              -1
       61        42740000        0.874620            6ff5        0.874664        0.000045        0.484810            3e0e        0.484802       -0.000007              -1
       60        42700000        0.866025            6eda        0.866028        0.000002        0.500000            4001        0.500031        0.000031              -1
       59        426c0000        0.857167            6db8        0.857178        0.000010        0.515038            41ed        0.515045        0.000007              -1
       58        42680000        0.848048            6c88        0.847900       -0.000148        0.529919            43d8        0.530029        0.000110              -1
       57        42640000        0.838671            6b58        0.838623       -0.000048        0.544639            45b4        0.544556       -0.000083              -1
